1,0,0,4,0
2,4,0,2,0
3,6,0,5,0
4,11,0,3,0
5,12,2,4,0
6,12,4,2,2
7,10,6,2,4
8,6,10,1,6
9,5,8,3,6
10,8,6,0,6
11,6,8,4,6
12,8,8,0,8
13,4,12,4,8
14,8,8,0,10
15,8,10,3,7
16,7,11,2,10
17,9,10,3,11
18,12,11,5,9
19,16,10,4,11
20,18,13,6,10
21,18,16,0,13
22,10,21,7,15
23,16,16,1,18
24,16,19,5,13
25,18,16,6,18
26,21,21,2,15
27,16,22,8,19
28,21,22,3,21
29,19,26,4,20
30,15,28,3,22
31,12,28,3,25
32,12,28,4,22
33,13,25,2,22
34,11,26,4,21
35,14,22,2,21
36,13,24,8,20
37,19,22,2,23
38,17,27,4,22
39,15,28,4,26
40,18,27,7,27
41,22,30,4,27
42,22,31,5,30
43,20,37,4,30
44,17,37,4,35
45,13,43,4,33
46,17,33,7,36
47,24,36,4,29
48,20,37,4,34
49,16,42,7,36
50,20,39,3,38
51,16,45,3,37
52,14,42,6,42
53,18,44,1,36
54,13,42,2,35
55,9,41,1,39
56,5,44,1,38
57,6,38,3,38
58,7,40,1,32
59,5,35,3,34
60,7,35,1,31
61,7,32,4,32
62,9,34,2,31
63,8,34,4,33
64,10,35,2,33
65,10,35,7,33
66,17,33,4,33
67,17,37,4,31
68,13,39,3,34
69,14,36,5,37
70,18,38,3,34
71,18,37,5,36
72,17,42,4,35
73,17,39,4,38
74,19,40,1,35
75,14,41,4,35
76,13,40,3,35
77,14,37,7,35
78,21,35,4,33
79,21,37,7,31
80,21,38,2,36
81,14,45,6,36
82,14,42,3,39
83,16,40,7,38
84,20,41,3,37
85,19,41,6,38
86,17,46,3,37
87,16,41,10,44
88,23,47,0,39
89,16,46,5,45
90,16,50,4,45
91,18,47,10,45
92,25,48,0,45
93,16,54,8,45
94,18,51,3,52
95,19,54,7,47
96,20,53,1,48
97,15,54,9,51
98,20,55,2,52
99,16,58,8,51
100,19,56,2,53
101,18,56,8,53
102,21,58,2,51
103,15,59,6,54
104,19,56,3,51
105,17,56,9,50
106,23,53,3,55
107,26,55,7,50
108,25,58,2,50
109,16,61,6,55
110,15,62,3,56
111,16,58,5,57
112,19,59,5,51
113,19,56,3,54
114,14,62,4,53
115,18,53,5,57
116,20,60,6,51
117,22,55,9,58
118,27,62,4,54
119,23,62,9,59
120,26,65,6,59
121,25,66,7,58
122,22,68,6,60
123,24,64,9,65
124,30,68,5,59
125,27,67,10,63
126,28,72,3,65
127,21,75,6,67
128,21,73,7,69
129,26,71,9,68
130,28,75,5,69
131,26,76,8,72
132,28,78,6,70
133,25,79,10,70
134,25,80,3,75
135,20,83,10,78
136,27,81,3,78
137,25,83,12,77
138,34,80,7,81
139,38,84,17,77
140,46,86,6,80
141,42,90,12,84
142,38,100,3,87
143,28,100,14,93
144,35,100,4,92
145,30,101,15,89
146,39,95,2,94
147,33,102,14,89
148,38,98,3,93
149,31,103,14,90
150,41,94,3,97
151,37,104,17,90
152,43,101,6,99
153,43,105,11,97
154,39,112,6,98
155,36,107,13,104
156,37,116,5,103
157,31,114,10,110
158,30,121,6,109
159,31,114,12,112
160,37,118,6,112
161,37,118,14,114
162,43,122,4,114
163,35,126,14,116
164,37,128,5,121
165,37,126,16,119
166,42,130,11,119
167,45,127,11,120
168,40,136,12,121
169,42,131,13,130
170,49,136,9,125
171,44,139,11,129
172,39,145,6,135
173,29,151,7,138
174,29,145,9,140
175,36,142,8,132
176,34,142,8,129
177,30,141,7,133
178,29,141,11,134
179,33,141,9,131
180,36,137,10,134
181,36,144,6,130
182,26,146,10,139
183,29,146,5,135
184,31,138,7,136
185,26,148,5,131
186,28,134,13,141
187,41,141,6,128
188,35,140,16,137
189,43,145,10,139
190,43,149,14,139
191,43,153,7,146
192,38,158,14,149
193,42,159,6,149
194,29,168,14,151
195,36,158,5,154
196,34,161,15,146
197,37,158,3,151
198,25,166,15,152
199,39,153,9,155
200,46,157,13,146
201,42,163,11,155
202,46,162,11,159
203,49,167,15,155
204,56,163,18,160
205,63,171,16,157
206,64,172,15,166
207,61,184,18,168
208,63,184,15,177
209,63,192,17,179
210,68,191,15,185
211,60,208,16,186
212,52,210,12,200
213,57,207,24,196
214,66,211,9,194
215,54,215,23,199
216,70,206,13,204
217,70,217,27,193
218,76,214,10,205
219,64,227,30,206
220,77,223,7,215
221,62,237,27,213
222,72,230,11,224
223,69,238,14,218
224,60,241,17,226
225,66,237,20,230
226,71,245,14,224
227,64,245,18,232
228,63,251,15,235
229,60,253,16,241
230,58,259,11,239
231,53,255,17,241
232,58,253,15,238
233,59,252,15,238
234,55,257,11,237
235,43,260,13,243
236,42,257,6,241
237,37,252,14,238
238,46,243,13,236
239,57,238,10,231
240,50,248,14,229
241,51,242,11,238
242,48,252,6,234
243,37,251,17,240
244,49,245,7,237
245,49,244,14,229
246,50,242,7,232
247,44,245,10,232
248,38,248,13,235
249,40,246,8,238
250,34,252,12,237
251,41,242,9,244
252,45,249,11,230
253,38,248,11,240
254,42,247,16,244
255,53,249,13,236
256,51,251,11,242
257,54,250,17,244
258,62,253,15,239
259,61,255,10,246
